,dec_min,ra_min,dec_max,ra_max,width_pix,height_pix
0,42.29189681015375,308.65068241549614,42.56525401244942,308.999023388675,390.0,406.0
0,40.79900621922175,307.4603139570014,40.847079598169216,307.523362613355,71.0,73.0
0,38.81547998666876,308.0567610282924,38.854625245390274,308.10759050347383,59.0,59.0
0,40.250445411781484,308.0975622603177,40.29852581272422,308.16091021507026,73.0,72.0
0,37.27632765982244,306.8273038470136,37.31220856191008,306.87372073774605,55.0,55.0
0,38.82769848263299,308.07060055208655,38.89683796355194,308.15520880837266,99.0,104.0
0,41.1862257770712,305.1671943094979,41.22674716338057,305.22360281052977,62.0,63.0
0,38.93729690411193,307.9034313122038,39.00555602893517,307.98951220731766,100.0,102.0
0,39.67372248137112,310.4455735842659,39.72281956320047,310.5038190415184,69.0,72.0
0,42.25367320572358,309.3391619990637,42.28025132202448,309.37367165602706,38.0,39.0
0,37.36324258850906,306.3077508622599,37.40564551293372,306.36496004977784,67.0,65.0
0,37.50050087931304,305.37383374783036,37.54461137967411,305.43260530250177,68.0,68.0
0,40.829333686369985,307.0156997443985,40.90031365442656,307.10924669740695,105.0,107.0
0,42.08223547192126,309.5843760343011,42.12708793766202,309.64295833150237,66.0,66.0
0,41.147461780228745,309.7203305490592,41.4143557262815,310.0523804535867,383.0,392.0
0,39.4188169235951,306.7329053474378,39.4835507616018,306.8154675639418,95.0,98.0
0,39.37370687028138,306.7255688002045,39.495710688239264,306.89087753147476,189.0,185.0
0,39.86376322305249,308.72881225769123,40.00047784828705,308.9032991564859,203.0,204.0
0,41.24443656150448,307.5775441858842,41.28906434267026,307.6378825048292,68.0,67.0
0,37.65986826961867,305.4339699928224,37.69981758055211,305.4870416583135,61.0,62.0
0,41.618197320240526,308.7701126424315,41.65597639528687,308.81991794776206,56.0,57.0
0,42.19733421768736,310.35955122944296,42.24229060269933,310.4165844408942,66.0,66.0
0,37.63189813690408,305.95307208605914,37.66875825134898,306.00037943605236,55.0,57.0
0,40.131728582983726,308.43827326672846,40.16499886318103,308.478855787027,47.0,49.0
0,39.01061218677121,307.3869147310485,39.051345441000315,307.44024362285825,62.0,61.0
0,40.27169280450945,307.74194416326736,40.308595079595534,307.78874010646706,54.0,56.0
0,39.72965934012623,304.99804079192216,39.793907556755876,305.08713823849325,100.0,99.0
0,37.635489360872526,305.98490901415437,37.671078301167476,306.0331573916933,56.0,54.0
0,38.906020681618,307.737066813501,39.146178521116454,308.0556067948896,370.0,361.0
0,39.808826723729986,307.5591517304597,39.84350551389628,307.60625275609834,54.0,52.0
0,39.38702768342518,306.7768797127031,39.4536978634536,306.86324275424147,98.0,101.0
0,42.828092768016326,310.4944416348147,43.037898691640976,310.7744891507271,317.0,306.0
0,39.887109700533216,308.7925331953618,39.946619740886995,308.86880724136654,89.0,88.0
0,43.00807047193369,307.5683586514415,43.03258038086249,307.60232176726,37.0,37.0
0,41.88585720217738,304.48384490535705,41.916587504742594,304.52998866541685,50.0,48.0
0,38.98430629553652,307.27647166235244,39.126545367055186,307.46097963187106,214.0,215.0
